WORD,PRONUNCIATION,PART_OF_SPEECH,MEANING,TOPIC_NAME,IMAGE_LINK,CERT_LEVEL_NAME,AUDIO_LINK,LESSON_ID
app,æp,noun,ứng dụng,Technology,https://www.apple.com/v/app-store/b/images/meta/og__c59t0pflacq6.png,A2,,
device,dɪˈvaɪs,noun,thiết bị,Technology,https://cyclingmagazine.ca/wp-content/uploads/2021/01/zwift_devices-1-e1611684467749.jpg,A2,,
digital,ˈdɪʤɪtəl,adjective,kỹ thuật số,Technology,https://th.bing.com/th/id/R.d5519b21eb449503177a5cbdb977513b?rik=ZKC17xy6f9VzbQ&pid=ImgRaw&r=0,A2,,
download,ˈdaʊnˌloʊd,verb,tải xuống,Technology,https://cdn.pixabay.com/photo/2016/12/18/13/45/download-1915753_640.png,A2,,
electronic,ˌɪˌlɛkˈtrɑnɪk,adjective,điện tử,Technology,https://www.publicdomainpictures.net/pictures/300000/velka/electronic-board-1558730597M8F.jpg,A2,,
internet,ˈɪntərˌnɛt,noun,mạng internet,Technology,https://th.bing.com/th/id/R.283d7eb399b42d70875ec1e84f82d000?rik=cG0gvhtEKwc7lQ&pid=ImgRaw&r=0,A2,,
software,ˈsɔfˌwɛr,noun,phần mềm,Technology,https://www.themagazine.org/wp-content/uploads/2021/09/different-types-of-software-coderus-branded-image-1920x9999-1.jpg,A2,,
computer,kəmˈpjutər,noun,máy tính,Technology,https://www.bhphotovideo.com/images/images2500x2500/Lenovo_77521QU_H420_Desktop_Computer_Black_794343.jpg,A2,,
smartphone,ˈsmɑrtˌfoʊn,noun,điện thoại thông minh,Technology,https://th.bing.com/th/id/R.03b1522789eacc295b0b7142f3ff3b99?rik=DfaErBLWMQkIwQ&pid=ImgRaw&r=0,A2,,
tablet,ˈtæblət,noun,máy tính bảng,Technology,https://i5.walmartimages.com/asr/f83ff552-e26c-4231-bdc4-4d755beb7f6a_1.e9e57019cdf48725cf07cddfd72c5457.jpeg?odnWidth=1000&odnHeight=1000&odnBg=ffffff,A2,,
keyboard,ˈkiˌbɔrd,noun,bàn phím,Technology,https://cdn.mos.cms.futurecdn.net/wiUv69iFSzArgPKjBBTH9M.jpg,A2,,
mouse,maʊs,noun,chuột máy tính,Technology,https://th.bing.com/th/id/R.76f58fb93fb059363fec8024d93c0708?rik=gv4HJ1S4bojsNg&pid=ImgRaw&r=0,A2,,
mobile,ˈmoʊbəl,noun,điện thoại di động,Technology,https://th.bing.com/th/id/R.3d218c4444b9b86b725a896aba3ca934?rik=4jNeTyM%2flBxn9g&pid=ImgRaw&r=0,A2,,
television,ˈtɛləˌvɪʒən,noun,ti vi,Technology,https://th.bing.com/th/id/R.4b89196853af5430c8ac2e512c36d651?rik=q46K%2b3uoAaZxow&pid=ImgRaw&r=0,A2,,
