WORD,PRONUNCIATION,PART_OF_SPEECH,MEANING,TOPIC_NAME,IMAGE_LINK,CERT_LEVEL_NAME,AUDIO_LINK,LESSON_ID
camera,ˈkæmərə,noun,máy ảnh,Technology,https://th.bing.com/th/id/R.455b64f92536e749ce5440ce656b2663?rik=MFxZDPYbIxQPFg&riu=http%3a%2f%2fwww.bhphotovideo.com%2fimages%2fimages2500x2500%2fnikon_d750_dslr_camera_with_1082604.jpg&ehk=Q92x1IC7zy685wgxOlFFVeYW0UPihstojBLH58u2YGQ%3d&risl=&pid=ImgRaw&r=0,A2,,
apple,ˈæpəl,noun,quả táo,Food and Drink,https://th.bing.com/th/id/R.ab7861c8f52e2a71c5401f80b4869183?rik=72zA1PYP9ptQgg&riu=http%3a%2f%2fapple.gop%2fmedia%2fuploads%2fzinnia%2fshiny-red-apples.jpg&ehk=1OqkLNXKlIZEiFEiMfL%2bjWmShEoe5N412%2bXM1iioX5s%3d&risl=&pid=ImgRaw&r=0,A2,,
banana,bəˈnænə,noun,quả chuối,Food and Drink,https://th.bing.com/th/id/R.556937069c339cbfea8ad91ac54c0570?rik=a%2b9w5qWH1lM4rA&riu=http%3a%2f%2fpamsdailydish.com%2fwp-content%2fuploads%2f2015%2f04%2fBunch-Bananas-2.jpg&ehk=58pOED6p9l77ndP7z29CEym%2fTOahIZDhj2qd4Pj8dz8%3d&risl=&pid=ImgRaw&r=0,A2,,
bread,brɛd,noun,bánh mì,Food and Drink,https://www.tasteofhome.com/wp-content/uploads/2018/01/Wholesome-Wheat-Bread_EXPS_CWFM18_2093_C10_12_6b-2.jpg?resize=1024,A2,,
breakfast,ˈbrɛkfəst,noun,bữa sáng,Food and Drink,https://th.bing.com/th/id/OIP.W2EleFRrMr7DRgtRqCoKVAHaD4?rs=1&pid=ImgDetMain,A2,,
cake,keɪk,noun,bánh ngọt,Food and Drink,https://th.bing.com/th/id/OIP.QrgFLXbYKv8s9pZ4rlv_WgHaE8?rs=1&pid=ImgDetMain,A2,,
cheese,ʧiz,noun,phô mai,Food and Drink,https://th.bing.com/th/id/OIP.rQKYey2Oih3SZc6MleVCkgHaE8?rs=1&pid=ImgDetMain,A2,,
chicken,ˈʧɪkən,noun,thịt gà,Food and Drink,https://www.thecountrycook.net/wp-content/uploads/2021/02/thumbnail-Southern-Fried-Chicken-scaled.jpg,A2,,
coffee,ˈkɔfi,noun,cà phê,Food and Drink,https://static.vecteezy.com/system/resources/previews/006/325/865/original/chicken-cartoon-colored-clipart-illustration-free-vector.jpg,A2,,
tea,ti,noun,trà,Food and Drink,https://www.foodrepublic.com/img/gallery/why-england-and-america-are-fighting-over-tea-again/l-intro-1706214095.jpg,A2,,
water,ˈwɔtər,noun,nước,Food and Drink,https://th.bing.com/th/id/R.6764fd113e921f2aad81449e26699982?rik=UV5P7R4Q95DGfA&riu=http%3a%2f%2fwww.themoderngladiator.com%2fwp-content%2fuploads%2f2013%2f11%2fglass-of-water.jpg&ehk=sUC3i4%2fdT%2fxp6x%2b4IewoU6NdEwtzS5UXkAe6nIQ4uS0%3d&risl=&pid=ImgRaw&r=0,A2,,
airport,ˈɛrˌpɔrt,noun,sân bay,Places,https://image.vietnamnews.vn/uploadvnnews/Article/Vu_Ha/2019/10/25/sanbay-1-1.jpg,A2,,
bank,bæŋk,noun,ngân hàng,Places,https://static.vecteezy.com/system/resources/previews/020/716/209/original/flat-icon-bank-bank-icon-where-to-keep-money-illustration-of-saving-in-the-bank-free-png.png,A2,,
beach,biʧ,noun,bãi biển,Places,https://th.bing.com/th/id/R.e22467ee34cbb8bf29a36d2995ec4390?rik=fPYTSgT5jtAQ%2bQ&riu=http%3a%2f%2fblogs.egusd.net%2fgaviolashnika%2ffiles%2f2013%2f10%2ffiji_beach___1-16t0ri4.jpg&ehk=7WdifYuepT%2f4NA3Es9zopXKl4yYvWt3TaeRL1jhYN3M%3d&risl=1&pid=ImgRaw&r=0,A2,,
city,ˈsɪti,noun,thành phố,Places,https://th.bing.com/th/id/R.632084147d6a9eddc55e7591a4efda5e?rik=DB9QKFAh8JPqlg&pid=ImgRaw&r=0,A2,,
country,ˈkəntri,noun,đất nước,Places,https://www.worldatlas.com/r/w1200-q80/upload/f4/e0/49/shutterstock-1665254809.png,A2,,
hotel,hoʊˈtɛl,noun,khách sạn,Places,https://cdn.lifestyleasia.com/wp-content/uploads/2019/02/04113012/batch_Hotel_Facade_HR0001.jpg,A2,,
restaurant,ˈrɛˌstrɑnt,noun,nhà hàng,Places,https://th.bing.com/th/id/OIP.0Y_7e4c2Rfs4OGFLLF74MAHaE8?rs=1&pid=ImgDetMain,A2,,
park,pɑrk,noun,công viên,Places,https://th.bing.com/th/id/R.289f45581bc41a6b5f127477c71c87cc?rik=DfAcTX4Lvvt8zQ&pid=ImgRaw&r=0,A2,,
museum,mˈjuziəm,noun,bảo tàng,Places,https://th.bing.com/th/id/OIP.-7SrqSq1P8CEujlOVHXLTAAAAA?rs=1&pid=ImgDetMain,A2,,
library,ˈlaɪbrɛˌri,noun,thư viện,Places,https://th.bing.com/th/id/OIP.se46-rgOBMId55rpM_9dBgHaE8?rs=1&pid=ImgDetMain,A2,,
apartment,əˈpɑrtmənt,noun,chung cư,Places,https://th.bing.com/th/id/R.a5064078369c34a2683c285824e6ba96?rik=fv6qtBV9FRmfkg&pid=ImgRaw&r=0,A2,,
house,haʊs,noun,nhà,Places,https://th.bing.com/th/id/R.ff20b5ef8b0405610b226866b74b12f2?rik=eGIy74viLRY%2b%2bA&riu=http%3a%2f%2fww1.prweb.com%2fprfiles%2f2015%2f03%2f02%2f12556168%2fGeneva_Q1_Facade.jpg&ehk=JPpfgQiaCOhK7BwYU8TBB6FCKISsQc%2fvK6kd9ElEKGs%3d&risl=1&pid=ImgRaw&r=0,A2,,
room,rum,noun,phòng,Places,"https://cdn.apartmenttherapy.info/image/fetch/f_auto,q_auto:eco/https://storage.googleapis.com/gen-atmedia/2/2012/03/f42ddde80c92f6ad8fdeebd57ff8c3ed6e3c0471.jpeg",A2,,
belt,bɛlt,noun,thắt lưng,Clothing,https://th.bing.com/th/id/OIP.fOmvFnVoOCQMVRndyz1atQAAAA?rs=1&pid=ImgDetMain,A2,,
clothes,kloʊðz,noun,quần áo,Clothing,https://th.bing.com/th/id/OIP.AgUW74LvQfZrucfNj7fzIgHaE8?rs=1&pid=ImgDetMain,A2,,
dress,drɛs,noun,váy đầm,Clothing,https://static.vecteezy.com/system/resources/previews/002/266/134/original/summer-red-women-s-dress-with-a-belt-dress-with-a-floral-pattern-flat-cartoon-illustration-free-vector.jpg,A2,,
hat,hæt,noun,mũ,Clothing,https://static.vecteezy.com/system/resources/previews/010/862/378/original/yellow-straw-hat-cartoon-vector.jpg,A2,,
jacket,ˈʤækɪt,noun,áo khoác,Clothing,https://cdn3.vectorstock.com/i/1000x1000/94/52/a-classic-leather-jacket-vector-27559452.jpg,A2,,
jeans,ʤinz,noun,quần bò,Clothing,https://th.bing.com/th/id/OIP.MdcfT1Tlh3NB3dD4Hi7nqwHaKp?rs=1&pid=ImgDetMain,A2,,
shirt,ʃərt,noun,áo sơ mi,Clothing,https://img.freepik.com/premium-vector/cartoon-shirt_119631-192.jpg,A2,,
shoes,ʃuz,noun,giày dép,Clothing,https://th.bing.com/th/id/R.2c02315e1967eb5825bb3410f6159b7e?rik=smUATDSXmVw%2bhA&riu=http%3a%2f%2fclipart-library.com%2fimg%2f1350409.png&ehk=UIohSRoLdxwqHmxZSA0n%2fMZpp5aTEQRCOPv2cKI0xxg%3d&risl=&pid=ImgRaw&r=0,A2,,
socks,sɑks,noun,"tất, vớ",Clothing,https://static.vecteezy.com/system/resources/previews/011/288/791/original/children-s-colored-socks-isolated-cartoon-style-illustration-vector.jpg,A2,,
scarf,skɑrf,noun,khăn quàng cổ,Clothing,https://static.vecteezy.com/system/resources/previews/020/377/416/original/red-scarf-item-of-women-s-clothing-for-the-neck-cartoon-illustration-vector.jpg,A2,,
skirt,skɜrt,noun,váy,Clothing,https://png.pngtree.com/png-clipart/20221012/original/pngtree-pink-skirt-png-image_8677176.png,A2,,
sweater,ˈswɛtər,noun,áo len,Clothing,https://static.vecteezy.com/system/resources/previews/014/180/167/non_2x/hand-drawn-sweater-png.png,A2,,
tie,taɪ,noun,cà vạt,Clothing,https://th.bing.com/th/id/R.14c590698796800a41ac9ab3bbe804b7?rik=Ife2coolvisEgg&riu=http%3a%2f%2fclipart-library.com%2fimages%2fkiMKpeBeT.png&ehk=bxRSiJ7M0HQW8lRRRUt1q5Ew6KdLPlOOQzs7CTDWRNg%3d&risl=&pid=ImgRaw&r=0,A2,,
trousers,ˈtraʊzərz,noun,quần,Clothing,https://th.bing.com/th/id/OIP.WzbtZ_4bCHZYmKNGNnb-0AHaHa?rs=1&pid=ImgDetMain,A2,,
watch,wɑʧ,noun,đồng hồ,Clothing,https://thumbs.dreamstime.com/b/vector-cartoon-retro-wrist-watch-wristwatch-brown-leather-band-89963865.jpg,A2,,
angry,ˈæŋgri,adjective,tức giận,Emotions,"https://lumiere-a.akamaihd.net/v1/images/au_character_insideout_bio_anger_8cabbb2b.jpeg?region=0,0,600,600",A2,,
happy,ˈhæpi,adjective,"vui vẻ, hạnh phúc",Emotions,https://th.bing.com/th/id/R.a19d071e03d3b443c831e3ecf4d2db33?rik=wWaZxDAbi4LEng&pid=ImgRaw&r=0,A2,,
sad,sæd,adjective,buồn bã,Emotions,https://th.bing.com/th/id/R.e7fe603bb49821c525699ab6d9cd5442?rik=ZZsvn0JVPAI4DQ&pid=ImgRaw&r=0,A2,,
scared,skɛrd,adjective,sợ hãi,Emotions,https://th.bing.com/th/id/R.ecfe949eb45c6fac6ef024c7d59253e6?rik=qN7vC50gru7NrQ&pid=ImgRaw&r=0,A2,,
surprised,səˈpraɪzd,adjective,ngạc nhiên,Emotions,https://th.bing.com/th/id/OIP.Agj6dq9y4YgsZxKbb5XODwHaE7?rs=1&pid=ImgDetMain,A2,,
excited,ɪkˈsaɪtɪd,adjective,hào hứng,Emotions,https://thumbs.dreamstime.com/z/handsome-child-happy-excited-celebrating-victory-expressing-big-success-power-energy-positive-emotions-celebrates-over-white-133554906.jpg,A2,,
nervous,ˈnərvəs,adjective,lo lắng,Emotions,https://thumbs.dreamstime.com/z/nervous-emoticon-emoji-looking-aside-biting-his-nails-feeling-fear-263492406.jpg,A2,,
bored,bɔrd,adjective,chán nản,Emotions,https://th.bing.com/th/id/R.5c26ce2625b79cf451d1099c0377c84e?rik=bXSh2XJAikRDtg&pid=ImgRaw&r=0,A2,,
confused,kənfˈjuzd,adjective,bối rối,Emotions,https://i.pinimg.com/originals/b5/fb/77/b5fb7787080e95ee16bcf1ce7ab9c8c3.jpg,A2,,
proud,praʊd,adjective,tự hào,Emotions,https://th.bing.com/th/id/R.8e8d4be16a51ec9fb6a00de0bf92779c?rik=8jGFx%2bRfJVkgQw&pid=ImgRaw&r=0,A2,,
tired,ˈtaɪərd,adjective,mệt mỏi,Emotions,https://as2.ftcdn.net/v2/jpg/02/80/88/95/1000_F_280889508_jGc0ynJS9BUrwXKrUMzph3LKbMsl5d5e.jpg,A2,,
worried,ˈwɜrid,adjective,lo lắng,Emotions,https://thumbs.dreamstime.com/b/worry-emoticon-worried-sad-emoji-resting-his-face-hand-looking-up-203072148.jpg,A2,,
afraid,əˈfreɪd,adjective,sợ hãi,Emotions,https://cdn2.vectorstock.com/i/1000x1000/67/86/scared-emoticon-smiley-vector-5056786.jpg,A2,,
upset,ʌpˈsɛt,adjective,bực bội,Emotions,https://th.bing.com/th/id/OIP.MkPkSr6wLBLdVueT6Jn_0QHaE8?rs=1&pid=ImgDetMain,A2,,
car,kɑr,noun,xe hơi,Transport,https://th.bing.com/th/id/R.17732c809cc0854ade0ce1f2af8b8eeb?rik=0nbSYarrpc%2bSxg&pid=ImgRaw&r=0,A2,,
bus,bʌs,noun,xe buýt,Transport,https://th.bing.com/th/id/R.7145e6a4704c9e59702f7fff6eb913f0?rik=u8hFnoij6DxJFQ&riu=http%3a%2f%2fupload.wikimedia.org%2fwikipedia%2fcommons%2f2%2f2f%2fBangalore_Metropolitan_Transport_Corporation_Volvo_B7RLE_bus%2c_India.jpg&ehk=u4xw8nDC0xmSVt1YMktMA2pLWaIJAHSKF%2fqht5f9UYU%3d&risl=1&pid=ImgRaw&r=0,A2,,
bicycle,ˈbaɪsɪkəl,noun,xe đạp,Transport,https://i5.walmartimages.com/asr/2c288d02-4bdd-42ac-9a41-27ad6d63123a_2.652b83e201bd9c174003fde69381c901.jpeg,A2,,
train,treɪn,noun,tàu hỏa,Transport,https://th.bing.com/th/id/R.eff95135a328e31e3115ab612bfe9805?rik=QNnp78mnLTo1pQ&riu=http%3a%2f%2fupload.wikimedia.org%2fwikipedia%2fcommons%2f7%2f7c%2fLeviathan_63_Train_Festival_2009.jpg&ehk=K7BpqiiWe3DMOS08v5us5Ve7s%2f7yugHJKutjy9ui7wE%3d&risl=1&pid=ImgRaw&r=0,A2,,
plane,pleɪn,noun,máy bay,Transport,https://th.bing.com/th/id/OIP.ZzCk0-Fgo2Q0VwtOfPv0VAHaE6?rs=1&pid=ImgDetMain,A2,,
boat,boʊt,noun,thuyền,Transport,https://th.bing.com/th/id/R.def3559408fef03a490868a72920c74e?rik=vtBmmGyvaw1DNg&riu=http%3a%2f%2fnewimages.yachtworld.com%2fresize%2f1%2f99%2f57%2f5779957_20160417220240130_1_XLARGE.jpg%3ff%3d%2f1%2f99%2f57%2f5779957_20160417220240130_1_XLARGE.jpg%26w%3d3975%26h%3d2655%26t%3d1461579972000&ehk=4Ijjx6spkYYcxjMT4N4J%2bGJ%2bZ1Da8x9u56IC7NfaeL0%3d&risl=&pid=ImgRaw&r=0,A2,,
motorbike,ˈmoʊtərˌbaɪk,noun,xe máy,Transport,https://th.bing.com/th/id/R.156214fb47c4b523f1e6ff2e194e7c72?rik=02o5pnvoWEsa%2bQ&pid=ImgRaw&r=0,A2,,
taxi,ˈtæksi,noun,xe taxi,Transport,https://th.bing.com/th/id/R.393032f4bf92ee3aa82b165e328dd7b3?rik=28ZT6IlaoASODw&riu=http%3a%2f%2fupload.wikimedia.org%2fwikipedia%2fcommons%2f6%2f6d%2fChecker_Taxi_Madison_Sq_jeh.jpg&ehk=YRs1JZEq%2fS%2fybYljGZ2uTJjZerQ%2bq7cJTtNzAzLm9xM%3d&risl=&pid=ImgRaw&r=0,A2,,
subway,ˈsʌbˌweɪ,noun,tàu điện ngầm,Transport,https://i.pinimg.com/originals/5a/3a/ad/5a3aadf613ab3f6a7d38dcace13b9f13.jpg,A2,,
ship,ʃɪp,noun,tàu,Transport,https://th.bing.com/th/id/R.e356a47fea8a90ddb7ec95d445f7eb09?rik=JJyuBXBPgPfYig&pid=ImgRaw&r=0,A2,,
helicopter,ˈhɛlɪˌkɑptər,noun,trực thăng,Transport,https://th.bing.com/th/id/OIP.XvWAERnkSdi5-Wp8dcWSZAHaFH?rs=1&pid=ImgDetMain,A2,,
lorry,ˈlɔri,noun,xe tải,Transport,https://th.bing.com/th/id/OIP.uexECCy3JPsfUSN-BLtSHwHaD7?rs=1&pid=ImgDetMain,A2,,
van,væn,noun,xe chở hàng,Transport,https://th.bing.com/th/id/OIP.3bwwDM_7pMJQUqsEkS3oTQHaE8?rs=1&pid=ImgDetMain,A2,,
trator,ˈtræktər,noun,xe cày,Transport,https://th.bing.com/th/id/R.400f9706d7f87e001720c2cd22cac216?rik=LKQqaa80ulTG%2bw&pid=ImgRaw&r=0,A2,,
truck,trʌk,noun,xe tải,Transport,https://th.bing.com/th/id/OIP.aBBqwfn7A_5kwpQQ-CddXgHaEA?rs=1&pid=ImgDetMain,A2,,
doctor,ˈdɑktər,noun,bác sĩ,Jobs,https://th.bing.com/th/id/R.707e7fd4ea86fcdf69f3fe209d74510a?rik=OWPgfIOjEh83pQ&pid=ImgRaw&r=0,A2,,
nurse,nɜrs,noun,hộ lý,Jobs,https://th.bing.com/th/id/R.62e7c857f5d75b2e90f7c39170a8b6b7?rik=F8TUMlL1EA6j0Q&pid=ImgRaw&r=0,A2,,
student,ˈstudənt,noun,sinh viên,Jobs,https://th.bing.com/th/id/OIP.WaWjuJug-u3X3zTQMribmgHaHA?rs=1&pid=ImgDetMain,A2,,
police,pəˈlis,noun,cảnh sát,Jobs,https://th.bing.com/th/id/R.1e14ee12932651eb0e9e26103b32ee7e?rik=05o755Eu5UsyyA&riu=http%3a%2f%2fcliparts.co%2fcliparts%2fBca%2fEgB%2fBcaEgB7xi.jpg&ehk=jP9Rq5dOHV%2bfoGW9FryfrTcfVemPPEOHh5i4hYlQuO4%3d&risl=&pid=ImgRaw&r=0,A2,,
firefighter,ˈfaɪrˌfaɪtər,noun,lính cứu hỏa,Jobs,https://cdn5.vectorstock.com/i/1000x1000/95/19/firefighter-cartoon-vector-16659519.jpg,A2,,
engineer,ˌɛnʤəˈnɪr,noun,kỹ sư,Jobs,https://thumbs.dreamstime.com/z/cartoon-engineer-engineer-logo-vector-artwork-cartoon-engineer-engineer-logo-130577241.jpg,A2,,
artist,ˈɑrtəst,noun,nghệ sĩ,Jobs,https://th.bing.com/th/id/OIP.RFSptzzLXHAmg8LXHasVlQHaGx?rs=1&pid=ImgDetMain,A2,,
singer,ˈsɪŋər,noun,ca sĩ,Jobs,https://cdn2.vectorstock.com/i/1000x1000/49/51/cartoon-female-singer-with-microphone-vector-4934951.jpg,A2,,
actor,ˈæktər,noun,diễn viên,Jobs,https://cdn2.vectorstock.com/i/1000x1000/21/81/professional-male-actor-performing-on-set-cartoon-vector-35382181.jpg,A2,,
boss,bɔs,noun,sếp,Jobs,https://thumbnails.yayimages.com/1600/3/e76/3e767e4.jpg,A2,,
colleague,ˈkɑˌlig,noun,đồng nghiệp,Jobs,https://static.vecteezy.com/system/resources/previews/020/772/404/original/colleagues-in-office-flat-illustration-coworkers-relaxing-chatting-cartoon-characters-corporate-worker-business-people-communicate-in-the-office-kitchen-vector.jpg,A2,,
technician,tɛkˈnɪʃən,noun,kỹ thuật viên,Jobs,https://th.bing.com/th/id/OIP.GdqiTIyqsqZQCIKwUPTOogHaHe?rs=1&pid=ImgDetMain,A2,,
waiter,ˈweɪtər,noun,phục vụ,Jobs,https://static.vecteezy.com/system/resources/previews/005/520/446/original/cartoon-drawing-of-a-waiter-vector.jpg,A2,,
waitress,ˈweɪtrəs,noun,nữ phục vụ,Jobs,https://thumbs.dreamstime.com/z/cartoon-cute-waitress-food-tray-illustration-40438639.jpg,A2,,
cook,kʊk,noun,đầu bếp,Jobs,https://th.bing.com/th/id/OIP.QefD7IqFmk34gTsUiAquMwHaH-?rs=1&pid=ImgDetMain,A2,,
farmer,ˈfɑrmər,noun,nông dân,Jobs,https://static.vecteezy.com/system/resources/previews/004/985/994/original/cartoon-farmer-with-farmland-background-free-vector.jpg,A2,,
manager,ˈmænɪʤər,noun,quản lý,Jobs,https://th.bing.com/th/id/R.5386cf3981a9934a11ce549ed8b6cf1e?rik=0MC1AVM7SaRgHg&pid=ImgRaw&r=0,A2,,
teacher,ˈtitʃər,noun,giáo viên,Jobs,https://static.vecteezy.com/system/resources/previews/004/633/209/original/young-woman-teacher-teaching-cartoon-character-free-vector.jpg,A2,,
secretary,ˈsɛkrəˌtɛri,noun,thư ký,Jobs,https://th.bing.com/th/id/R.cfdc0b303137e5723154951e74ffb161?rik=P9m3tZjdRkHFsw&riu=http%3a%2f%2fclipart-library.com%2fimg%2f2017997.jpg&ehk=AlRLwMI7AnL32%2bjf2T6NRFe5Bbb4pCMydtmaXl6XCi8%3d&risl=&pid=ImgRaw&r=0,A2,,
baby,ˈbeɪbi,noun,em bé,Family,https://th.bing.com/th/id/R.374a06ea273e3742c399fbe5bf3f0825?rik=TIuHz3gXFFbeLg&riu=http%3a%2f%2fclipartmag.com%2fimage%2fbaby-cartoon-drawing-11.jpg&ehk=%2bnCRbMVwBg8hvQFBWjjO2o1EnUBB2RH1u%2f3pPcj7Tvw%3d&risl=&pid=ImgRaw&r=0,A2,,
father,ˈfɑðər,noun,bố,Family,https://static.vecteezy.com/system/resources/previews/017/137/474/original/drawing-of-happy-dad-with-son-sitting-on-his-shoulders-in-cartoon-style-for-print-and-design-illustration-vector.jpg,A2,,
mother,ˈmʌðər,noun,mẹ,Family,https://static.vecteezy.com/system/resources/previews/020/146/787/original/mother-day-cartoon-illustration-mother-hugging-her-daughter-vector.jpg,A2,,
grandfather,ˈgrændˌfɑðər,noun,ông,Family,https://cdn4.vectorstock.com/i/1000x1000/96/43/happy-grandfather-cartoon-vector-17519643.jpg,A2,,
grandmother,ˈgrændˌmʌðər,noun,bà,Family,https://th.bing.com/th/id/R.4020de39b9a19871f79fa65084daa8e3?rik=vCPIKFAfHOl%2f0Q&pid=ImgRaw&r=0,A2,,
brother,ˈbrʌðər,noun,anh trai,Family,https://static.vecteezy.com/system/resources/previews/002/993/604/original/two-brother-cartoon-illustration-with-baby-free-vector.jpg,A2,,
sister,ˈsɪstər,noun,chị gái,Family,https://thumbs.dreamstime.com/b/cute-little-girl-say-hello-young-sister-222265092.jpg,A2,,
uncle,ˈʌŋkəl,noun,chú,Family,https://th.bing.com/th/id/OIP.W6031bAoxrgpL2kXEU38PgHaKe?rs=1&pid=ImgDetMain,A2,,
aunt,ˈænt,noun,cô,Family,https://th.bing.com/th/id/OIP.qy-r__6dI0o_dPx6pCHE2gHaJ9?rs=1&pid=ImgDetMain,A2,,
cousin,ˈkʌzən,noun,anh chị em họ,Family,https://th.bing.com/th/id/R.050cb7aa8f7ee886118702f0f0bfd116?rik=n8ws8CyLQKn4Lw&pid=ImgRaw&r=0,A2,,
husband,ˈhʌzbənd,noun,chồng,Family,https://static.vecteezy.com/system/resources/previews/010/952/568/original/a-couple-in-love-are-hugging-happy-stable-family-of-husband-and-wife-cartoon-free-vector.jpg,A2,,
wife,waɪf,noun,vợ,Family,https://static.vecteezy.com/system/resources/previews/010/952/568/original/a-couple-in-love-are-hugging-happy-stable-family-of-husband-and-wife-cartoon-free-vector.jpg,A2,,
son,sʌn,noun,con trai,Family,https://thumbs.dreamstime.com/z/print-189763195.jpg,A2,,
daughter,ˈdɔtər,noun,con gái,Family,https://th.bing.com/th/id/R.7494242b519df530586780ac7074d402?rik=YaDZ1WJMyi7MUA&pid=ImgRaw&r=0,A2,,
nephew,ˈnɛˌfju,noun,cháu trai,Family,https://th.bing.com/th/id/R.d6db1bd9d163d69fb1516e78ae403b61?rik=ZcFQqzzGMb%2fvCw&riu=http%3a%2f%2fwww.clker.com%2fcliparts%2f0%2f0%2ff%2f9%2f15137699881403072572nephew-clipart.hi.png&ehk=9d0%2bRDWL850of7T5woPn2MkJs282FYifyk58y4bW%2bWE%3d&risl=&pid=ImgRaw&r=0,A2,,
niece,nis,noun,cháu gái,Family,https://thumbs.dreamstime.com/b/grandparent-kid-grandmother-niece-giftbox-cartoon-round-icon-over-striped-background-vector-illustration-graphic-125566078.jpg,A2,,
neighbor,ˈneɪbər,noun,hàng xóm,Family,https://th.bing.com/th/id/OIP.RAn_tyA7QfnS5L4FPlqpsAHaGS?rs=1&pid=ImgDetMain,A2,,
friend,frɛnd,noun,bạn bè,Education,https://th.bing.com/th/id/R.af860a7688e35dbfe42cd4846f29d410?rik=cAhaio1je3xFog&riu=http%3a%2f%2fclipart-library.com%2fimg1%2f1398338.jpg&ehk=zKtX54gwbC%2bgmg8fU11ZRjNLt8kkmo7fDu87%2bxPh%2bwE%3d&risl=&pid=ImgRaw&r=0,A2,,
university,ˌjunəˈvɜrsəti,noun,đại học,Education,https://th.bing.com/th/id/OIP.PWaT-S8Aa1IMXQJ6E_uh-AHaH0?rs=1&pid=ImgDetMain,A2,,
school,skul,noun,trường học,Education,https://th.bing.com/th/id/OIP.B82knUJwJLqXndMYvreoLwHaFP?rs=1&pid=ImgDetMain,A2,,
classroom,ˈklæsˌrum,noun,phòng học,Education,https://static.vecteezy.com/system/resources/previews/001/128/661/non_2x/cartoon-students-reading-books-at-desks-vector.jpg,A2,,
homework,ˈhoʊmˌwɜrk,noun,bài tập về nhà,Education,https://th.bing.com/th/id/OIP.E0S98eWFB_zNOXnKwBBOvwHaIT?rs=1&pid=ImgDetMain,A2,,
exam,ɪgˈzæm,noun,kỳ thi,Education,https://thumbs.dreamstime.com/b/cartoon-exam-22162286.jpg,A2,,
lesson,ˈlɛsən,noun,bài học,Education,https://static.vecteezy.com/system/resources/previews/011/410/749/original/young-male-teacher-teaching-math-lesson-to-students-in-the-classroom-vector.jpg,A2,,
math,maθ,noun,toán,Education,https://cdn3.vectorstock.com/i/1000x1000/11/77/math-word-on-board-with-cartoon-kids-vector-42011177.jpg,A2,,
science,ˈsaɪəns,noun,khoa học,Education,https://th.bing.com/th/id/R.0cf24d25119770b6034a9c1b667a85e2?rik=7NZ9zKrvm2Thxg&pid=ImgRaw&r=0,A2,,
